compounds	minFlux	maxFlux	concentration
cpd00001	-100	100	0.001
cpd00007	-100	100	0.001
cpd00009	-100	100	0.001
cpd00013	-100	100	0.001
cpd00030	-100	100	0.001
cpd00034	-100	100	0.001
cpd00048	-100	100	0.001
cpd00058	-100	100	0.001
cpd00063	-100	100	0.001
cpd00067	-100	100	0.001
cpd00099	-100	100	0.001
cpd00104	-100	100	0.001
cpd00149	-100	100	0.001
cpd00205	-100	100	0.001
cpd00215	-100	100	0.001
cpd00218	-100	100	0.001
cpd00220	-100	100	0.001
cpd00244	-100	100	0.001
cpd00254	-100	100	0.001
cpd00305	-100	100	0.001
cpd00393	-100	100	0.001
cpd00443	-100	100	0.001
cpd00541	-100	100	0.001
cpd00635	-100	100	0.001
cpd00644	-100	100	0.001
cpd00971	-100	100	0.001
cpd10515	-100	100	0.001
cpd10516	-100	100	0.001
cpd11574	-100	100	0.001
cpd00224	-100	100	0.001
