qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen	slen
CR-75_QB5629_2019-08-29_F04	888063.3.NZ_AFHR01000079	98.372	1413	20	3	1	1411	1540	129	0.0	2479	1411	1634
CR-75_QB5629_2019-08-29_F04	61647.10.CP009450	98.089	1413	24	3	1	1411	536854	535443	0.0	2457	1411	5489680
CR-75_QB5629_2019-08-29_F04	61647.10.CP009450	98.089	1413	24	3	1	1411	918682	920093	0.0	2457	1411	5489680
CR-75_QB5629_2019-08-29_F04	61647.10.CP009450	98.089	1413	24	3	1	1411	1107494	1108905	0.0	2457	1411	5489680
CR-75_QB5629_2019-08-29_F04	61647.10.CP009450	98.089	1413	24	3	1	1411	5138253	5136842	0.0	2457	1411	5489680
CR-75_QB5629_2019-08-29_F04	61647.10.CP009450	98.018	1413	25	3	1	1411	321994	320583	0.0	2451	1411	5489680
CR-75_QB5629_2019-08-29_F04	61647.10.CP009450	98.018	1413	25	3	1	1411	1008987	1010398	0.0	2451	1411	5489680
CR-75_QB5629_2019-08-29_F04	61647.10.CP009450	98.018	1413	25	3	1	1411	2205323	2206734	0.0	2451	1411	5489680
CR-75_QB5629_2019-08-29_F04	83655.10.CP013990	98.021	1415	19	8	1	1411	20417	21826	0.0	2449	1411	4803917
CR-75_QB5629_2019-08-29_F04	83655.10.CP013990	98.021	1415	19	8	1	1411	251230	252639	0.0	2449	1411	4803917
CR-75_QB5629_2019-08-29_F04	83655.10.CP013990	97.809	1415	22	8	1	1411	163798	165207	0.0	2433	1411	4803917
CR-75_QB5629_2019-08-29_F04	83655.10.CP013990	97.739	1415	23	8	1	1411	469719	471128	0.0	2427	1411	4803917
CR-75_QB5629_2019-08-29_F04	83655.10.CP013990	97.597	1415	25	8	1	1411	3893175	3891766	0.0	2416	1411	4803917
CR-75_QB5629_2019-08-29_F04	83655.10.CP013990	97.597	1415	25	8	1	1411	4562033	4560624	0.0	2416	1411	4803917
