model1,model2,media,monoculture growth model1,monoculture growth model2,coculture growth model1,coculture growth model2,community growth,MRO_model1,MRO_model2,CIP,MIP_model1 (costless),MIP_model2 (costless),BSS_model1,BSS_model2,PC_model1,PC_model2,PC_comm,BIT,GYD1,GYD2
LA.genome.mdl,CF.genome.mdl,M9_Alanine,21.965,22.334,4.432309544289135,29.075690455710866,33.508,90.909% (20/22),80.000% (20/25),8,0 (0),0 (0),52.0%,59.091%,0.20179,1.3019,0.75641,parasitism,-0.016799,0.016522
LA.genome.mdl,CF.genome.mdl,M9_Arginine,18.053,14.765,4.577074323463437,25.278925676536566,29.856,90.909% (20/22),80.000% (20/25),6,1 (0),1 (0),52.0%,59.091%,0.25354,1.7121,0.90974,parasitism,0.18213,-0.22269
LA.genome.mdl,CF.genome.mdl,M9_Fructose,35.724,39.392,5.222389890840221,46.405610109159774,51.628,90.909% (20/22),80.000% (20/25),9,0 (0),0 (0),52.0%,59.091%,0.14619,1.178,0.68731,parasitism,-0.10268,0.093115
LA.genome.mdl,CF.genome.mdl,M9_GlcNAc,39.378,39.474,4.561373117496921,48.723626882503076,53.285,90.909% (20/22),80.000% (20/25),12,0 (0),0 (0),52.0%,59.091%,0.11584,1.2343,0.67576,parasitism,-0.0024379,0.002432
LA.genome.mdl,CF.genome.mdl,M9_Acetate,10.982,11.167,4.503608163287784,17.834391836712218,22.338,90.909% (20/22),80.000% (20/25),3,1 (0),1 (0),52.0%,59.091%,0.41009,1.5971,1.0085,parasitism,-0.016846,0.016567
LA.genome.mdl,CF.genome.mdl,M9_Cellobiose,51.209,52.122,6.571956185248642,62.121043814751346,68.693,90.909% (20/22),80.000% (20/25),7,0 (0),0 (0),52.0%,59.091%,0.12834,1.1918,0.66479,parasitism,-0.017829,0.017517
LA.genome.mdl,CF.genome.mdl,M9_Citrate,30.106,33.727,6.299292064919066,34.44870793508093,40.748,90.909% (20/22),80.000% (20/25),7,0 (0),1 (0),52.0%,59.091%,0.20924,1.0214,0.63835,amensalism,-0.12028,0.10736
LA.genome.mdl,CF.genome.mdl,M9_Glucose,42.735,39.392,4.930124225156491,46.69787577484351,51.628,90.909% (20/22),80.000% (20/25),9,0 (0),0 (0),52.0%,59.091%,0.11537,1.1855,0.62864,parasitism,0.078226,-0.084865
LA.genome.mdl,CF.genome.mdl,M9_Glutamine,22.188,22.564,3.713803037380316,30.140196962619683,33.854,90.909% (20/22),80.000% (20/25),5,0 (0),1 (0),52.0%,59.091%,0.16738,1.3358,0.75648,parasitism,-0.016946,0.016664
LA.genome.mdl,CF.genome.mdl,M9_Mannitol,37.871,33.49,4.897229873826338,38.46177012617366,43.359,90.909% (20/22),80.000% (20/25),9,0 (0),0 (0),52.0%,59.091%,0.12931,1.1485,0.6076,parasitism,0.11568,-0.13082
LA.genome.mdl,CF.genome.mdl,M9_Mannose,42.735,39.392,4.930124225156469,46.69787577484353,51.628,90.909% (20/22),80.000% (20/25),9,0 (0),0 (0),52.0%,59.091%,0.11537,1.1855,0.62864,parasitism,0.078226,-0.084865
LA.genome.mdl,CF.genome.mdl,M9_Proline,24.376,26.633,4.793020853581444,33.68597914641855,38.479,90.909% (20/22),80.000% (20/25),8,0 (0),1 (1),52.0%,59.091%,0.19663,1.2648,0.75436,parasitism,-0.092591,0.084744
